,paper_id,sentence_id,section_name,prev_sentence,text,next_sentence,problem,direction
0,PMC7152165,PMC7152165_152,"Transport, Society, and Space ::: Travel and Transport","In Britain, improvements in coaching technologies and roads helped to increase stage coach speeds in the late eighteenth and early nineteenth centuries, while the railway construction boom of the 1830s and 1840s led to a massive reduction in journey times, and the emergence of distinctly new experiences and geographies.","Britain’s railway companies were among the nation’s largest employers in the nineteenth century, and they facilitated the mobility of passengers and important commodities.",The railways brought a new technology and vast engineering and architectural structures into Britain’s rural and urban landscapes.,0.0,0.0
1,PMC7173591,PMC7173591_325,Digestion,|,Delayed gastric emptying may be a consequence of wine phenolics activating STC-1 cells in the stomach.,"These possess the same T2R system as bitter-sensitive receptors in the mouth (see Finger and Kinnamon, 2011).",1.0,1.0
2,PMC7246897,PMC7246897_238,3.6. Cited References—Research Fronts ::: 3. Results,"The third largest cluster is labeled ‘γ Food Risk Communication’, which includes 75 references with an average publication year of 2003 and a silhouette value of 0.867, indicating a reasonable separation of other research clusters.","Its research front is [62], which describes the history of risk communication, summarizes theoretical avenues, and provides research directions in food-related risks.","It highlights media amplification, public trust, and communication of uncertainty as essential ingredients.",0.0,1.0
3,PMC7364749,PMC7364749_91,Histopathological changes in rhesus macaques infected with SARS-CoV-2 ::: Results,"The histopathological changes of heart, liver, kidney, spleen, stomach, ileum, colon and testis were shown in Supplementary information, Fig. S6.","Those organs showed varying levels of edema, increase or infiltration of inflammatory cells on day 3 post infection, while the symptom was relieved slightly on day 6 post infection.",These results suggested that SARS-CoV-2 could infect the respiratory tract resulting in interstitial pneumonia in RMs.,0.0,0.0
4,PMC7231902,PMC7231902_65,"Organisation of emergency departments and inter or inhospital
transfer ::: Specific management of patients with acute coronary syndromes","Separate teams providing care in each of
these areas might reduce the risk of cross-contaminations as important as
maintaining separate areas throughout the hospital for both Covid-19-positive
and negative patients for further care.","If organised differently,
Covid-19-positive patients should be transferred to intensive care units,
coronary care units or wards in Covid-19 hospitals depending on their clinical
status and presentation.",|,0.0,0.0
5,PMC7094322,PMC7094322_59,Triangulating complementary results ::: Using the methodological metaphor of triangulation ::: Results,|,"While their theoretical proposition may not be explicitly stated by the authors, there is clearly an implicit theoretical proposition that the educational intervention would improve DNs knowledge and confidence (theoretical proposition 1, Fig. 2).",This was supported by the quantitative findings which showed significant improvement in the district nurses confidence in their professional competence post intervention.,0.0,1.0
6,PMC7401880,PMC7401880_109,7.2. Clinical Features Consistent with SHLH ::: 7. Suggested Management of Patients with MIS-C,"Although no conclusions can be made from this study regarding the efficacy of tocilizumab in COVID-19 pneumonia, the survival rates reported are encouraging and suggest that tocilizumab is at least safe in severe COVID-19 infection.","We consider that tocilizumab may also be substituted for anakinra in MIS-C with SHLH features, especially in the setting of active SARS-CoV-2 infection.","For severe disease, the addition of pulsed corticosteroids and other immunosuppressive agents, such as cyclosporine and tacrolimus, may be considered.",0.0,1.0
7,PMC7393991,PMC7393991_111,Discussion,"From the results of the whole experiment, we not only improved the performance of the training task through 2 weeks of response inhibition training (Go/NoGo and stop-signal tasks), but also more importantly, we found the migration effect of training in the untrained Stroop task and Balloon Analog Risk Task.",The fact that inhibition control plays an important role in people’s complex decision-making process has been verified.,|,0.0,0.0
8,PMC7152005,PMC7152005_128,Anticancer Therapeutics ::: Applications of Bacteria Expressing Heterologous Surface Proteins,|,"Of course, intravenous administration of live bacteria is not without risk of side effects.","For instance, preliminary tolerability studies with VNP20009 showed dose-dependent elicitation of cytokines, such as IL-1β, IL-6, and TNF-α, which were associated with hypotension, fever, thrombocytopenia, anemia, diarrhea, nausea, and vomiting [236].",1.0,0.0
9,PMC6211748,PMC6211748_26,Introduction,"Thus, other constraints have apparently limited genome size, even in RNA viruses equipped with proofreading capability.","Further characterization of nidovirus molecular biology, variation, and evolution may provide insight into these other factors.",|,0.0,1.0
